Beam,Station,M3
94,1.95,49.8815
94,2.3,36.0877
94,2.3,36.0873
94,2.8,0
95,0,0
95,0.2,14.5171
95,0.2,14.5178
95,0.6,32.6201
95,1,46.7426
95,1,44.8111
95,1.4667,39.7786
95,1.9333,27.8593
95,2.4,9.7224
95,2.4,9.7221
95,2.6,0
96,0,0
96,0.4429,13.2262
96,0.8857,21.3734
96,1.3286,23.5218
96,1.7714,19.5874
96,2.2143,9.57
96,2.6571,-6.5231
96,3.1,-28.2662
97,0,0
97,0.3667,13.4597
97,0.7333,23.6177
97,1.1,30.1466
97,1.1,32.7821
97,1.6,26.2604
97,2.1,12.5516
97,2.6,-9.1356
97,3.1,-38.3413
